Date,Month,Outlet ID,Outlet Name,City,Country,Terminal Type,Service,Product,Partner,Free PAX,Paid PAX,Total PAX,Unit Selling Price,Unit Cost,Currency,Total Revenue,Total Cost,Total Margin,Has Issue,Debug Reason
"2026-01-01","Jan 2026","336145147786","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",2.0000,1.0000,3.0000,32.3500,79.8931,"USD",97.0500,239.6794,-142.6294,"No",""
"2026-01-01","Jan 2026","342074132028","Narbutas Business Lounge","Vilnius","Lithuania","International","Global Lounge","Global Lounge","ETT",3.0000,0.0000,3.0000,50.0000,59.7765,"USD",150.0000,179.3295,-29.3295,"No",""
"2026-01-01","Jan 2026","345196734410","Ahlan Lounge @ A1","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,32.3500,63.0245,"USD",32.3500,63.0245,-30.6745,"No",""
"2026-01-01","Jan 2026","351767157744","Le Saigonnais Business Lounge","Ho Chi Minh City","Vietnam","Domestic","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,44.0000,"USD",36.0000,44.0000,-8.0000,"No",""
"2026-01-01","Jan 2026","373385703311","SH Premium Lounge Da Nang","Da nang","Vietnam","Domestic","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,28.1500,43.0000,"USD",56.3000,86.0000,-29.7000,"No",""
"2026-01-01","Jan 2026","373385703311","SH Premium Lounge Da Nang","Da nang","Vietnam","Domestic","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,43.0000,"USD",36.0000,43.0000,-7.0000,"No",""
"2026-01-01","Jan 2026","374960068309","No. 137 VIP Lounge","Shanghai","China","International","Global Lounge","Global Lounge","LoungePair",1.0000,0.0000,1.0000,79.0000,57.0000,"USD",79.0000,57.0000,22.0000,"No",""
"2026-01-01","Jan 2026","381089247375","Concordia Lounge","Denpasar","Indonesia","Domestic","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,35.3786,"USD",50.0000,35.3786,14.6214,"No",""
"2026-01-01","Jan 2026","385752023490","Ahlan Business Class Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",7.0000,3.0000,10.0000,32.3500,63.0245,"USD",323.5000,630.2451,-306.7451,"No",""
"2026-01-01","Jan 2026","385752023490","Ahlan Business Class Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,42.5000,63.0245,"USD",42.5000,63.0245,-20.5245,"No",""
"2026-01-01","Jan 2026","385752023490","Ahlan Business Class Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","SBI",1.0000,0.0000,1.0000,44.0000,63.0245,"USD",44.0000,63.0245,-19.0245,"No",""
"2026-01-01","Jan 2026","397213435070","IRCTC Executive Lounge","New Delhi","India","","Railways Lounge","Railways Lounge","AU",11.0000,0.0000,11.0000,475.0000,375.0000,"INR",5225.0000,4125.0000,1100.0000,"No",""
"2026-01-01","Jan 2026","397213435070","IRCTC Executive Lounge","New Delhi","India","","Railways Lounge","Railways Lounge","HDFC",2.0000,0.0000,2.0000,500.0000,375.0000,"INR",1000.0000,750.0000,250.0000,"No",""
"2026-01-01","Jan 2026","397213435070","IRCTC Executive Lounge","New Delhi","India","","Railways Lounge","Railways Lounge","ICICI",75.0000,0.0000,75.0000,462.0000,375.0000,"INR",34650.0000,28125.0000,6525.0000,"No",""
"2026-01-01","Jan 2026","397213435070","IRCTC Executive Lounge","New Delhi","India","","Railways Lounge","Railways Lounge","IDFC Bank",47.0000,0.0000,47.0000,375.0000,375.0000,"INR",17625.0000,17625.0000,0.0000,"No",""
"2026-01-01","Jan 2026","397213435070","IRCTC Executive Lounge","New Delhi","India","","Railways Lounge","Railways Lounge","RBL",13.0000,0.0000,13.0000,460.0000,375.0000,"INR",5980.0000,4875.0000,1105.0000,"No",""
"2026-01-01","Jan 2026","399362209988","Plaza Premium Lounge","Hong Kong","China","International","Global Lounge","Global Lounge","ICICI",1.0000,1.0000,2.0000,23.9500,54.0000,"USD",47.9000,108.0000,-60.1000,"No",""
"2026-01-01","Jan 2026","409270513145","Alda Merini Classic Lounge","Milan","Italy","International","Global Lounge","Global Lounge","ETT",3.0000,0.0000,3.0000,50.0000,72.9790,"USD",150.0000,218.9369,-68.9369,"No",""
"2026-01-01","Jan 2026","414890416625","Miracle Lounge","Bangkok","Thailand","International","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,48.8624,"USD",50.0000,48.8624,1.1376,"No",""
"2026-01-01","Jan 2026","414890416625","Miracle Lounge","Bangkok","Thailand","International","Global Lounge","Global Lounge","ICICI",1.0000,1.0000,2.0000,28.1500,48.8624,"USD",56.3000,97.7247,-41.4247,"No",""
"2026-01-01","Jan 2026","414890416625","Miracle Lounge","Bangkok","Thailand","International","Global Lounge","Global Lounge","IDFC Bank",2.0000,0.0000,2.0000,36.0000,48.8624,"USD",72.0000,97.7247,-25.7247,"No",""
"2026-01-01","Jan 2026","415532911662","Plaza Premium Lounge","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,28.1500,50.0000,"USD",56.3000,100.0000,-43.7000,"No",""
"2026-01-01","Jan 2026","415532911662","Plaza Premium Lounge","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","IDFC Bank",3.0000,0.0000,3.0000,36.0000,50.0000,"USD",108.0000,150.0000,-42.0000,"No",""
"2026-01-01","Jan 2026","416119125176","Juneyao Air V6 VIP Lounge","Shanghai","China","Domestic","Global Lounge","Global Lounge","ETT",6.0000,0.0000,6.0000,50.0000,53.0000,"USD",300.0000,318.0000,-18.0000,"No",""
"2026-01-01","Jan 2026","419353164441","Pearl Lounge","Abu Dhabi","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",13.0000,1.0000,14.0000,32.3500,84.2907,"USD",452.9000,1180.0694,-727.1694,"No",""
"2026-01-01","Jan 2026","419353164441","Pearl Lounge","Abu Dhabi","United Arab Emirates","International","Global Lounge","Global Lounge","IDFC Bank",7.0000,0.0000,7.0000,42.5000,84.2907,"USD",297.5000,590.0347,-292.5347,"No",""
"2026-01-01","Jan 2026","422696476256","Moonimaa Lounge","Male","Maldives","Domestic/International","Global Lounge","Global Lounge","ETT",5.0000,0.0000,5.0000,50.0000,59.4000,"USD",250.0000,297.0000,-47.0000,"No",""
"2026-01-01","Jan 2026","424417112705","Lounge Tegel","Berlin","Germany","International","Global Lounge","Global Lounge","ETT",4.0000,0.0000,4.0000,50.0000,69.3939,"USD",200.0000,277.5757,-77.5757,"No",""
"2026-01-01","Jan 2026","428831953918","Pearl Lounge","Sharm el Sheikh","Egypt","International","Global Lounge","Global Lounge","ETT",42.0000,0.0000,42.0000,50.0000,63.0000,"USD",2100.0000,2646.0000,-546.0000,"No",""
"2026-01-01","Jan 2026","431461794846","The Stuti Luxury Lounge","Bhopal","India","","Railways Lounge","Railways Lounge","ICICI",6.0000,0.0000,6.0000,399.0000,350.0000,"INR",2394.0000,2100.0000,294.0000,"No",""
"2026-01-01","Jan 2026","431461794846","The Stuti Luxury Lounge","Bhopal","India","","Railways Lounge","Railways Lounge","IDFC Bank",5.0000,0.0000,5.0000,450.0000,350.0000,"INR",2250.0000,1750.0000,500.0000,"No",""
"2026-01-01","Jan 2026","431461794846","The Stuti Luxury Lounge","Bhopal","India","","Railways Lounge","Railways Lounge","SBI",1.0000,0.0000,1.0000,395.0000,350.0000,"INR",395.0000,350.0000,45.0000,"No",""
"2026-01-01","Jan 2026","444467113029","Executive Lounge","Kathmandu","Nepal","International","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,30.2500,61.5780,"USD",60.5000,123.1560,-62.6560,"No",""
"2026-01-01","Jan 2026","444467113029","Executive Lounge","Kathmandu","Nepal","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,38.0000,61.5780,"USD",38.0000,61.5780,-23.5780,"No",""
"2026-01-01","Jan 2026","447794587608","Balaka Executive Lounge","Dhaka","Bangladesh","International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,46.7280,"USD",100.0000,93.4561,6.5439,"No",""
"2026-01-01","Jan 2026","449252510624","Open Sky Lounge","Dusseldorf","Germany","Domestic/International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,53.0681,"USD",100.0000,106.1362,-6.1362,"No",""
"2026-01-01","Jan 2026","459100284405","Bosphore CIP Lounge","Nicosia","Northern Cyprus","International","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,55.2658,"USD",50.0000,55.2658,-5.2658,"No",""
"2026-01-01","Jan 2026","459116418479","Executive Lounge and TFC","Dwarka","India","","Railways Lounge","Railways Lounge","ICICI",1.0000,0.0000,1.0000,399.0000,270.0000,"INR",399.0000,270.0000,129.0000,"No",""
"2026-01-01","Jan 2026","459438891848","Miracle Lounge Domestic","Bangkok","Thailand","Domestic","Global Lounge","Global Lounge","ETT",10.0000,0.0000,10.0000,50.0000,48.8624,"USD",500.0000,488.6235,11.3765,"No",""
"2026-01-01","Jan 2026","459438891848","Miracle Lounge Domestic","Bangkok","Thailand","Domestic","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,28.1500,48.8624,"USD",56.3000,97.7247,-41.4247,"No",""
"2026-01-01","Jan 2026","462664717196","Aspire Lounge","Sofia","Bulgaria","International","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,54.5591,"USD",50.0000,54.5591,-4.5591,"No",""
"2026-01-01","Jan 2026","464078733266","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",7.0000,0.0000,7.0000,32.3500,79.8931,"USD",226.4500,559.2519,-332.8019,"No",""
"2026-01-01","Jan 2026","464078733266","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,42.5000,79.8931,"USD",42.5000,79.8931,-37.3931,"No",""
"2026-01-01","Jan 2026","464078733266","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","Vodafone",1.0000,0.0000,1.0000,45.0000,79.8931,"USD",45.0000,79.8931,-34.8931,"No",""
"2026-01-01","Jan 2026","475242322878","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,32.3500,72.7454,"USD",32.3500,72.7454,-40.3954,"No",""
"2026-01-01","Jan 2026","476450746018","Plaza Premium Lounge","London","United Kingdom","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,38.0000,54.5000,"USD",38.0000,54.5000,-16.5000,"No",""
"2026-01-01","Jan 2026","493988876351","Primeclass Lounge","Ankara","Turkey","International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,69.6926,"USD",100.0000,139.3852,-39.3852,"No",""
"2026-01-01","Jan 2026","499369066598","Platinum Lounge T2B Non Schengen","Budapest","Hungary","International","Global Lounge","Global Lounge","ETT",4.0000,0.0000,4.0000,50.0000,71.1653,"USD",200.0000,284.6610,-84.6610,"No",""
"2026-01-01","Jan 2026","503842685081","Bidvest Premier Lounge","Johannesburg","South Africa","Domestic","Global Lounge","Global Lounge","ETT",6.0000,0.0000,6.0000,50.0000,43.4569,"USD",300.0000,260.7417,39.2583,"No",""
"2026-01-01","Jan 2026","506044755152","Executive Lounge","Colombo","Sri Lanka","International","Global Lounge","Global Lounge","ETT",3.0000,0.0000,3.0000,50.0000,47.5138,"USD",150.0000,142.5414,7.4586,"No",""
"2026-01-01","Jan 2026","506044755152","Executive Lounge","Colombo","Sri Lanka","International","Global Lounge","Global Lounge","ICICI",3.0000,0.0000,3.0000,28.1500,47.5138,"USD",84.4500,142.5414,-58.0914,"No",""
"2026-01-01","Jan 2026","506044755152","Executive Lounge","Colombo","Sri Lanka","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,47.5138,"USD",36.0000,47.5138,-11.5138,"No",""
"2026-01-01","Jan 2026","512620083260","Aspire Lounge Gate 27","Helsinki","Finland","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,29.2000,60.8478,"USD",29.2000,60.8478,-31.6478,"No",""
"2026-01-01","Jan 2026","514052331791","The Escape Lounge","London","United Kingdom","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,29.2000,54.5610,"USD",29.2000,54.5610,-25.3610,"No",""
"2026-01-01","Jan 2026","521800807002","Executive Lounge","Agra","India","","Railways Lounge","Railways Lounge","ICICI",2.0000,0.0000,2.0000,399.0000,310.0000,"INR",798.0000,620.0000,178.0000,"No",""
